Uid,Sentiment
20803,neutral
20187,positive
20953,positive
13777,negative
20990,positive
15075,neutral
32292,positive
4622,positive
22338,negative
23996,positive
10426,neutral
3038,negative
37328,negative
11313,neutral
32158,positive
2598,neutral
12837,positive
26050,negative
30898,neutral
22656,neutral
2755,negative
16061,neutral
3364,neutral
2926,positive
29391,neutral
36692,positive
24682,positive
21692,neutral
16349,negative
22282,neutral
9078,neutral
10672,positive
44031,negative
36522,positive
16135,neutral
18612,negative
5794,positive
17667,neutral
16583,negative
25678,negative
10844,neutral
3791,negative
21624,positive
43144,neutral
42867,negative
40769,positive
17946,positive
843,neutral
23329,negative
43516,negative
13712,positive
4424,positive
11422,neutral
17588,neutral
8745,neutral
37006,positive
29291,positive
5905,negative
27921,neutral
8762,neutral
42612,neutral
34997,neutral
10988,negative
14844,negative
3014,negative
20448,neutral
23905,neutral
37296,neutral
42856,neutral
29080,neutral
10822,positive
27237,positive
31449,neutral
10734,neutral
5739,neutral
41105,negative
13394,positive
30013,neutral
11032,neutral
19785,positive
21293,positive
21155,positive
6056,negative
20984,neutral
25856,positive
8240,neutral
21721,positive
27783,positive
19625,positive
35006,positive
17660,negative
23605,negative
17224,neutral
23874,neutral
11284,neutral
22701,neutral
25926,positive
11652,positive
9458,neutral
11081,negative
7285,positive
2764,negative
40419,neutral
44227,neutral
21965,neutral
25875,negative
21921,neutral
18535,negative
5278,neutral
10444,neutral
43225,positive
28263,neutral
37439,positive
1500,neutral
27390,negative
5166,positive
17,neutral
17475,negative
24131,neutral
14972,neutral
42421,neutral
26724,neutral
37891,positive
11377,neutral
20601,neutral
7232,neutral
30579,neutral
9185,negative
1918,neutral
4134,positive
15585,positive
30146,neutral
20936,neutral
20757,negative
4304,negative
24009,negative
10865,negative
11302,neutral
12308,negative
13925,neutral
21861,positive
23801,neutral
12919,positive
32382,neutral
9363,neutral
24884,negative
6705,positive
15368,neutral
177,positive
14937,negative
21275,neutral
40205,positive
7396,neutral
6822,neutral
19943,negative
3266,neutral
10141,negative
31280,positive
44653,neutral
31837,positive
10933,neutral
21589,neutral
13525,neutral
31380,negative
11251,neutral
29583,negative
4047,negative
25420,positive
11401,positive
30288,negative
40377,positive
29413,neutral
37821,positive
268,negative
31644,positive
21066,neutral
10143,positive
18099,neutral
30341,positive
11225,neutral
25572,neutral
27920,positive
21268,neutral
39522,positive
